59,Sagar,23.83877,78.73874,2026-08-08 18:00:00,25.5,12.2,Madhya Pradesh,Central
60,Raipur,21.23333,81.63333,2026-08-08 18:00:00,26.2,9.7,Chhattisgarh,Central
61,Bilaspur,22.08005,82.15543,2026-08-08 18:00:00,25.9,8.1,Chhattisgarh,Central
62,Durg,21.19147,81.27619,2026-08-08 18:00:00,26.2,12.9,Chhattisgarh,Central
63,Korba,22.3458,82.69633,2026-08-08 18:00:00,26.1,3.8,Chhattisgarh,Central
64,Ranchi,23.34316,85.3094,2026-08-08 18:00:00,24.2,13.6,Jharkhand,Central
65,Jamshedpur,22.80278,86.18545,2026-08-08 18:00:00,26.8,9.4,Jharkhand,Central
66,Dhanbad,23.79759,86.42992,2026-08-08 18:00:00,26.7,11.6,Jharkhand,Central
67,Bokaro,23.66934,86.15161,2026-08-08 18:00:00,26.2,14.3,Jharkhand,Central
68,Kolkata,22.56263,88.36304,2026-08-08 18:00:00,29.4,9.8,West Bengal,East
69,Howrah,22.57688,88.31857,2026-08-08 18:00:00,29.6,8.4,West Bengal,East
70,Durgapur,23.51583,87.30801,2026-08-08 18:00:00,27.6,10.8,West Bengal,East
71,Siliguri,26.71004,88.42851,2026-08-08 18:00:00,29.4,11.3,West Bengal,East
72,Asansol,23.68333,86.98333,2026-08-08 18:00:00,27.8,12,West Bengal,East
73,Bhubaneswar,20.27241,85.83385,2026-08-08 18:00:00,27.1,8.6,Odisha,East
74,Cuttack,20.46497,85.87927,2026-08-08 18:00:00,27.2,3.6,Odisha,East
75,Rourkela,22.22496,84.86414,2026-08-08 18:00:00,26.9,6.5,Odisha,East
76,Sambalpur,21.46527,83.97573,2026-08-08 18:00:00,26.3,7.2,Odisha,East
77,Puri,19.79825,85.82494,2026-08-08 18:00:00,28.6,12.9,Odisha,East
78,Patna,25.59408,85.13563,2026-08-08 18:00:00,29.8,10.1,Bihar,East
79,Gaya,24.79686,85.00385,2026-08-08 18:00:00,29.2,9.8,Bihar,East
80,Muzaffarpur,26.12259,85.39055,2026-08-08 18:00:00,31,11.9,Bihar,East
81,Bhagalpur,25.24446,86.97183,2026-08-08 18:00:00,29.9,13.8,Bihar,East
82,Darbhanga,26.15216,85.89707,2026-08-08 18:00:00,30.9,13.1,Bihar,East
83,Guwahati,26.1844,91.7458,2026-08-08 18:00:00,27.8,8.2,Assam,Northeast
84,Silchar,24.82733,92.79787,2026-08-08 18:00:00,29.9,7.2,Assam,Northeast
85,Dibrugarh,27.47989,94.90837,2026-08-08 18:00:00,29.3,4.8,Assam,Northeast
86,Jorhat,26.75751,94.20306,2026-08-08 18:00:00,28.3,2.7,Assam,Northeast
87,Tinsukia,27.48905,95.35992,2026-08-08 18:00:00,28.8,3.1,Assam,Northeast
88,Tezpur,26.63333,92.8,2026-08-08 18:00:00,29.5,4.4,Assam,Northeast
89,Nagaon,26.35,92.66667,2026-08-08 18:00:00,28,0.4,Assam,Northeast
90,Shillong,25.56892,91.88313,2026-08-08 18:00:00,21.4,3.6,Meghalaya,Northeast
91,Imphal,24.80805,93.9442,2026-08-08 18:00:00,23.2,1.7,Manipur,Northeast
92,Aizawl,23.72894,92.71791,2026-08-08 18:00:00,21.2,2.3,Mizoram,Northeast
93,Agartala,23.83605,91.27939,2026-08-08 18:00:00,27.2,6.6,Tripura,Northeast
94,Kohima,25.67467,94.11099,2026-08-08 18:00:00,21.1,1.7,Nagaland,Northeast
95,Dimapur,25.91174,93.7217,2026-08-08 18:00:00,28.4,2.5,Nagaland,Northeast
96,Itanagar,27.08694,93.60987,2026-08-08 18:00:00,26,3.1,Arunachal Pradesh,Northeast
97,Gangtok,27.32574,88.61216,2026-08-08 18:00:00,20,2.5,Sikkim,Northeast
98,Naharlagun,27.10467,93.69518,2026-08-08 18:00:00,26.5,1.6,Arunachal Pradesh,Northeast
99,Bengaluru,12.97194,77.59369,2026-08-08 18:00:00,23.4,12.6,Karnataka,South
100,Mysuru,12.29791,76.63925,2026-08-08 18:00:00,25,20.5,Karnataka,South
101,Mangaluru,12.91723,74.85603,2026-08-08 18:00:00,25.2,8,Karnataka,South
102,Hubballi,15.34776,75.13378,2026-08-08 18:00:00,24.5,21.6,Karnataka,South
103,Belagavi,15.85212,74.50447,2026-08-08 18:00:00,22.8,19.1,Karnataka,South
104,Chennai,13.08784,80.27847,2026-08-08 18:00:00,28.7,7.6,Tamil Nadu,South
105,Coimbatore,11.00555,76.96612,2026-08-08 18:00:00,24.7,19.9,Tamil Nadu,South
106,Madurai,9.919,78.11953,2026-08-08 18:00:00,31.1,10.6,Tamil Nadu,South
107,Tiruchirappalli,10.8155,78.69651,2026-08-08 18:00:00,33.1,22.9,Tamil Nadu,South
108,Salem,11.65376,78.15538,2026-08-08 18:00:00,25.6,1.7,Tamil Nadu,South
109,Tirunelveli,8.72742,77.6838,2026-08-08 18:00:00,29.2,15.3,Tamil Nadu,South
110,Hyderabad,17.38405,78.45636,2026-08-08 18:00:00,27.2,5.9,Telangana,South
111,Warangal,18,79.58333,2026-08-08 18:00:00,26.7,3.9,Telangana,South
112,Vijayawada,16.50745,80.6466,2026-08-08 18:00:00,32.4,11.3,Andhra Pradesh,South
113,Visakhapatnam,17.68009,83.20161,2026-08-08 18:00:00,29.2,5.4,Andhra Pradesh,South
114,Tirupati,13.63551,79.41989,2026-08-08 18:00:00,27.8,3.1,Andhra Pradesh,South
115,Kochi,33.55,133.53333,2026-08-08 18:00:00,27,4.1,Kerala,South
116,Kozhikode,11.24802,75.7804,2026-08-08 18:00:00,24.8,6.7,Kerala,South
117,Thiruvananthapuram,8.4855,76.94924,2026-08-08 18:00:00,25.1,17.7,Kerala,South
118,Kollam,8.88113,76.58469,2026-08-08 18:00:00,26.2,12.9,Kerala,South
119,Kannur,11.86752,75.35763,2026-08-08 18:00:00,24.8,7.3,Kerala,South
120,Vijayapura,16.82442,75.71537,2026-08-08 18:00:00,23.6,13.1,Karnataka,South
121,Kurnool,15.82887,78.03602,2026-08-08 18:00:00,29.4,17.9,Andhra Pradesh,South
122,Nellore,14.44992,79.98697,2026-08-08 18:00:00,29.4,4.2,Andhra Pradesh,South
123,Puducherry,11.93381,79.82979,2026-08-08 18:00:00,27.3,3.6,Puducherry,South
124,Port Blair,11.66613,92.74635,2026-08-08 18:00:00,25.7,17.5,Andaman and Nicobar Islands,South
125,Sibsagar,26.98427,94.63784,2026-08-08 18:15:00,28.3,2,Assam,Northeast
126,Kohima,25.67467,94.11099,2026-08-10 22:00:00,19.9,3.9,,
