city_id,city,latitude,longitude,observed_at,temperature,wind_speed
104,Surat,21.19594,72.83023,2026-08-08 15:00:00,30.1,16.0
65,Lucknow,26.83928,80.92313,2026-08-05 19:45:00,26.0,2.7
100,Silchar,24.82733,92.79787,2026-08-08 17:30:00,29.3,4.5
27,Dibrugarh,27.47989,94.90837,2026-08-08 17:30:00,29.1,7.9
36,Guwahati,26.1844,91.7458,2026-08-08 18:00:00,27.8,8.2
80,New Delhi,28.62137,77.2148,2026-08-08 18:00:00,29.1,7.3
20,Chandigarh,30.73629,76.7884,2026-08-08 18:00:00,29.8,7.9
7,Amritsar,31.62234,74.87534,2026-08-08 18:00:00,27.9,6.5
66,Ludhiana,30.91204,75.85379,2026-08-08 18:00:00,29.2,7.6
47,Jalandhar,31.32556,75.57917,2026-08-08 18:00:00,28.0,6.3
83,Patiala,30.33625,76.3922,2026-08-08 18:00:00,28.3,6.2
46,Jaipur,26.91962,75.78781,2026-08-08 18:00:00,28.6,5.3
51,Jodhpur,26.26841,73.00594,2026-08-08 18:00:00,32.0,7.7
112,Udaipur,24.58584,73.71346,2026-08-08 18:00:00,28.3,11.1
61,Kota,25.18254,75.83907,2026-08-08 18:00:00,26.0,9.7
5,Ajmer,26.4521,74.63867,2026-08-08 18:00:00,26.7,9.6
17,Bikaner,28.01762,73.31495,2026-08-08 18:00:00,33.8,5.8
6,Alwar,27.56246,76.625,2026-08-08 18:00:00,29.3,2.8
65,Lucknow,26.83928,80.92313,2026-08-08 18:00:00,31.6,8.2
54,Kanpur,26.46523,80.34975,2026-08-08 18:00:00,31.7,7.4
2,Agra,27.18333,78.01667,2026-08-08 18:00:00,31.8,4.0
115,Varanasi,25.31668,83.01041,2026-08-08 18:00:00,30.9,8.5
86,Prayagraj,25.44478,81.84322,2026-08-08 18:00:00,31.1,3.8
71,Meerut,28.98002,77.70636,2026-08-08 18:00:00,30.9,5.0
34,Ghaziabad,28.66535,77.43915,2026-08-08 18:00:00,27.5,7.7
81,Noida,28.58,77.33,2026-08-08 18:00:00,28.0,7.5
10,Bareilly,28.36678,79.43167,2026-08-08 18:00:00,31.4,9.8
35,Gorakhpur,29.44768,75.67206,2026-08-08 18:00:00,28.2,7.3
70,Mathura,27.5035,77.67215,2026-08-08 18:00:00,31.3,2.2
25,Dehradun,30.32443,78.03392,2026-08-08 18:00:00,26.9,4.4
38,Haridwar,29.94791,78.16025,2026-08-08 18:00:00,31.1,6.6
98,Shimla,31.10442,77.16662,2026-08-08 18:00:00,19.6,2.0
48,Jammu,32.73528,74.86167,2026-08-08 18:00:00,29.7,5.9
103,Srinagar,34.08565,74.80555,2026-08-08 18:00:00,22.8,3.6
64,Leh,49.49346,0.10785,2026-08-08 18:00:00,26.7,2.1
72,Mumbai,19.07283,72.88261,2026-08-08 18:00:00,27.9,14.5
88,Pune,18.51957,73.85535,2026-08-08 18:00:00,24.9,17.4
76,Nagpur,21.14631,79.08491,2026-08-08 18:00:00,27.4,5.5
78,Nashik,19.99727,73.79096,2026-08-08 18:00:00,25.4,18.4
9,Aurangabad,19.87757,75.34226,2026-08-08 18:00:00,27.9,17.9
57,Kolhapur,16.69563,74.23167,2026-08-08 18:00:00,23.8,17.7
102,Solapur,17.67152,75.91044,2026-08-08 18:00:00,28.1,14.5
106,Thane,19.19704,72.96355,2026-08-08 18:00:00,28.2,13.5
104,Surat,21.19594,72.83023,2026-08-08 18:00:00,28.9,14.8
3,Ahmedabad,23.02579,72.58727,2026-08-08 18:00:00,32.0,8.2
114,Vadodara,22.29941,73.20812,2026-08-08 18:00:00,31.1,6.5
91,Rajkot,22.29161,70.79322,2026-08-08 18:00:00,30.1,12.0
14,Bhavnagar,21.76287,72.15331,2026-08-08 18:00:00,31.4,7.7
49,Jamnagar,22.47292,70.06673,2026-08-08 18:00:00,29.6,17.3
31,Gandhinagar,23.21667,72.68333,2026-08-08 18:00:00,31.2,12.1
82,Panaji,14.85289,-90.9715,2026-08-08 18:00:00,11.4,5.1
116,Vasco da Gama,15.39585,73.81568,2026-08-08 18:00:00,25.9,14.9
69,Mapusa,15.59154,73.80898,2026-08-08 18:00:00,26.0,13.8
15,Bhopal,23.25469,77.40289,2026-08-08 18:00:00,26.8,13.5
43,Indore,22.71792,75.8333,2026-08-08 18:00:00,27.2,11.7
37,Gwalior,26.22983,78.17337,2026-08-08 18:00:00,31.2,3.1
45,Jabalpur,23.16697,79.95006,2026-08-08 18:00:00,27.6,13.6
113,Ujjain,23.18239,75.77643,2026-08-08 18:00:00,27.4,13.3
94,Sagar,23.83877,78.73874,2026-08-08 18:00:00,25.5,12.2
90,Raipur,21.23333,81.63333,2026-08-08 18:00:00,26.2,9.7
18,Bilaspur,22.08005,82.15543,2026-08-08 18:00:00,25.9,8.1
29,Durg,21.19147,81.27619,2026-08-08 18:00:00,26.2,12.9
60,Korba,22.3458,82.69633,2026-08-08 18:00:00,26.1,3.8
92,Ranchi,23.34316,85.3094,2026-08-08 18:00:00,24.2,13.6
50,Jamshedpur,22.80278,86.18545,2026-08-08 18:00:00,26.8,9.4
26,Dhanbad,23.79759,86.42992,2026-08-08 18:00:00,26.7,11.6
19,Bokaro,23.66934,86.15161,2026-08-08 18:00:00,26.2,14.3
58,Kolkata,22.56263,88.36304,2026-08-08 18:00:00,29.4,9.8
39,Howrah,22.57688,88.31857,2026-08-08 18:00:00,29.6,8.4
30,Durgapur,23.51583,87.30801,2026-08-08 18:00:00,27.6,10.8
101,Siliguri,26.71004,88.42851,2026-08-08 18:00:00,29.4,11.3
8,Asansol,23.68333,86.98333,2026-08-08 18:00:00,27.8,12.0
16,Bhubaneswar,20.27241,85.83385,2026-08-08 18:00:00,27.1,8.6
23,Cuttack,20.46497,85.87927,2026-08-08 18:00:00,27.2,3.6
93,Rourkela,22.22496,84.86414,2026-08-08 18:00:00,26.9,6.5
96,Sambalpur,21.46527,83.97573,2026-08-08 18:00:00,26.3,7.2
89,Puri,19.79825,85.82494,2026-08-08 18:00:00,28.6,12.9
84,Patna,25.59408,85.13563,2026-08-08 18:00:00,29.8,10.1
33,Gaya,24.79686,85.00385,2026-08-08 18:00:00,29.2,9.8
73,Muzaffarpur,26.12259,85.39055,2026-08-08 18:00:00,31.0,11.9
13,Bhagalpur,25.24446,86.97183,2026-08-08 18:00:00,29.9,13.8
24,Darbhanga,26.15216,85.89707,2026-08-08 18:00:00,30.9,13.1
36,Guwahati,26.1844,91.7458,2026-08-08 18:00:00,27.8,8.2
100,Silchar,24.82733,92.79787,2026-08-08 18:00:00,29.9,7.2
27,Dibrugarh,27.47989,94.90837,2026-08-08 18:00:00,29.3,4.8
52,Jorhat,26.75751,94.20306,2026-08-08 18:00:00,28.3,2.7
108,Tinsukia,27.48905,95.35992,2026-08-08 18:00:00,28.8,3.1
105,Tezpur,26.63333,92.8,2026-08-08 18:00:00,29.5,4.4
75,Nagaon,26.35,92.66667,2026-08-08 18:00:00,28.0,0.4
97,Shillong,25.56892,91.88313,2026-08-08 18:00:00,21.4,3.6
42,Imphal,24.80805,93.9442,2026-08-08 18:00:00,23.2,1.7
4,Aizawl,23.72894,92.71791,2026-08-08 18:00:00,21.2,2.3
1,Agartala,23.83605,91.27939,2026-08-08 18:00:00,27.2,6.6
56,Kohima,25.67467,94.11099,2026-08-08 18:00:00,21.1,1.7
28,Dimapur,25.91174,93.7217,2026-08-08 18:00:00,28.4,2.5
44,Itanagar,27.08694,93.60987,2026-08-08 18:00:00,26.0,3.1
32,Gangtok,27.32574,88.61216,2026-08-08 18:00:00,20.0,2.5
77,Naharlagun,27.10467,93.69518,2026-08-08 18:00:00,26.5,1.6
12,Bengaluru,12.97194,77.59369,2026-08-08 18:00:00,23.4,12.6
74,Mysuru,12.29791,76.63925,2026-08-08 18:00:00,25.0,20.5
68,Mangaluru,12.91723,74.85603,2026-08-08 18:00:00,25.2,8.0
40,Hubballi,15.34776,75.13378,2026-08-08 18:00:00,24.5,21.6
